Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
1919 - 1948;140 - 149;2 Wohnungen;-;(28);47;(3);(35);(39);49;(31);(38);19;(68);58;57;12;(42)
1919 - 1948;140 - 149;3 - 6 Wohnungen;-;14;6;9;6;(21);6;(27);19;(26);(19);(33);24;6;19
1919 - 1948;140 - 149;7 - 12 Wohnungen;-;16;-;-;-;3;-;-;-;-;6;-;-;-;-
1919 - 1948;140 - 149;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1919 - 1948;150 - 159;1 Wohnung;49;125;(145);(71);(207);(147);(138);120;(152);116;207;(207);163;130;210
1919 - 1948;150 - 159;2 Wohnungen;6;(6);(3);-;39;36;(22);36;(37);21;49;49;25;23;(53)
1919 - 1948;150 - 159;3 - 6 Wohnungen;3;9;(22);6;9;(6);13;4;16;11;(30);16;15;-;18
1919 - 1948;150 - 159;7 - 12 Wohnungen;-;(22);-;3;-;-;-;-;-;-;3;3;-;-;-
1919 - 1948;150 - 159;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-
1919 - 1948;160 - 169;1 Wohnung;34;90;89;(40);(149);88;102;124;(92);81;177;111;99;80;104
1919 - 1948;160 - 169;2 Wohnungen;-;-;(23);9;9;(16);21;28;12;17;35;37;28;25;22
1919 - 1948;160 - 169;3 - 6 Wohnungen;6;3;10;3;13;6;15;12;9;4;25;(3);6;6;15
1919 - 1948;160 - 169;7 - 12 Wohnungen;3;(10);-;-;-;3;-;-;-;-;-;-;-;-;-
1919 - 1948;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1919 - 1948;170 - 179;1 Wohnung;(13);46;(32);23;(51);57;56;31;(64);(37);81;44;(51);(38);71
1919 - 1948;170 - 179;2 Wohnungen;3;13;6;-;13;(6);19;15;6;6;22;9;9;9;9
1919 - 1948;170 - 179;3 - 6 Wohnungen;-;6;-;-;-;3;10;-;3;4;9;3;-;-;3
1919 - 1948;170 - 179;7 - 12 Wohnungen;-;3;-;-;-;-;-;-;-;-;6;-;-;-;-
1919 - 1948;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1919 - 1948;180 und mehr;1 Wohnung;88;198;191;(101);409;275;353;276;274;195;482;(301);251;213;314
1919 - 1948;180 und mehr;2 Wohnungen;17;28;(24);(19);(30);(89);64;(75);(36);(69);(80);(144);61;50;50
1919 - 1948;180 und mehr;3 - 6 Wohnungen;-;(3);(25);6;22;(15);24;(20);(31);(18);44;32;(21);21;(51)
1919 - 1948;180 und mehr;7 - 12 Wohnungen;-;43;-;-;3;13;-;13;3;-;7;-;9;-;-
1919 - 1948;180 und mehr;13 und mehr Wohnungen;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-
1949 - 1978;Unter 30;1 Wohnung;3;7;13;3;18;(18);25;(57);19;23;31;3;6;6;19
1949 - 1978;Unter 30;2 Wohnungen;4;34;(6);9;37;18;61;(63);57;41;43;(30);39;6;22
